experiment,executable,implementation,n,nz,mode,threads,repetition,time_s,sequential_time_s,speedup,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
speedup,thread,thread,500000,20000000,regular,8,1,8.226693,45.216198,5.496278759885656,5.601504662506867,5.601504662506887,1.9539925233402755e-14,0x6fad7fdd84b1fba5,0
speedup,thread,thread,500000,20000000,regular,8,2,8.203033,45.216198,5.512131671297677,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0x1bbca64323e941c2,0
speedup,thread,thread,500000,20000000,regular,8,3,8.203249,45.216198,5.511986531190264,5.601504662506868,5.601504662506887,1.865174681370263e-14,0x717aa61005256685,0
speedup,openmp,openmp,500000,20000000,regular,8,1,9.781846,45.216198,4.622460627574795,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
speedup,openmp,openmp,500000,20000000,regular,8,2,9.775701,45.216198,4.625366303654336,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
speedup,openmp,openmp,500000,20000000,regular,8,3,9.670362,45.216198,4.675750297662073,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
