experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
time,seq,seq,500000,20000000,regular,1,,0,1,45.303483,5.601504662506887,,,0xa9a02afd04fba066,0
time,seq,seq,500000,20000000,regular,1,,0,2,45.269102,5.601504662506887,,,0xa9a02afd04fba066,0
time,seq,seq,500000,20000000,regular,1,,0,3,45.459262,5.601504662506887,,,0xa9a02afd04fba066,0
time,thread,thread,500000,20000000,regular,8,dynamic,1024,1,8.295867,5.601504662506886,5.601504662506887,8.881784197001252e-16,0x9fb765f108520bc1,0
time,thread,thread,500000,20000000,regular,8,dynamic,1024,2,8.263975,5.601504662506893,5.601504662506887,6.217248937900877e-15,0x439d99e0bff69df9,0
time,thread,thread,500000,20000000,regular,8,dynamic,1024,3,8.383236,5.601504662506886,5.601504662506887,8.881784197001252e-16,0x45fda7f0a2cb55c6,0
time,openmp,openmp,500000,20000000,regular,8,,1024,1,9.860193,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
time,openmp,openmp,500000,20000000,regular,8,,1024,2,9.873154,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
time,openmp,openmp,500000,20000000,regular,8,,1024,3,9.935133,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
