experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
time,seq,seq,500000,20000000,irregular,1,,0,1,45.1352,4.223260535478325,,,0xadd2edef7e35a4f9,0
time,seq,seq,500000,20000000,irregular,1,,0,2,45.221685,4.223260535478325,,,0xadd2edef7e35a4f9,0
time,seq,seq,500000,20000000,irregular,1,,0,3,45.117171,4.223260535478325,,,0xadd2edef7e35a4f9,0
time,thread,thread,500000,20000000,irregular,8,dynamic,1024,1,8.216553,4.223260535478232,4.223260535478325,9.237055564881302e-14,0x6fa1a91db50e89ae,0
time,thread,thread,500000,20000000,irregular,8,dynamic,1024,2,8.278004,4.223260535478249,4.223260535478325,7.549516567451064e-14,0xd5b78dc9af88b03a,0
time,thread,thread,500000,20000000,irregular,8,dynamic,1024,3,8.249204,4.223260535478219,4.223260535478325,1.056932319443149e-13,0x97c99164571fd208,0
time,openmp,openmp,500000,20000000,irregular,8,,1024,1,9.754509,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,openmp,openmp,500000,20000000,irregular,8,,1024,2,9.796745,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,openmp,openmp,500000,20000000,irregular,8,,1024,3,9.883051,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
