experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,4096,2,23.770985,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,2,,4096,3,23.558434,4.223260535478204,4.223260535478325,1.2079226507921703e-13,0xce9903ee01db46a7,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,4096,1,23.360126,4.223260535478113,4.223260535478325,2.113864638886298e-13,0x76118ecf2fe07fed,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,4096,2,23.325359,4.223260535478113,4.223260535478325,2.113864638886298e-13,0x76118ecf2fe07fed,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,2,,4096,3,23.065852,4.223260535478113,4.223260535478325,2.113864638886298e-13,0x76118ecf2fe07fed,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,256,1,18.931167,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,256,2,19.411465,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp,task-based,500000,20000000,irregular,4,,256,3,19.706916,4.22326053547821,4.223260535478325,1.1457501614131615e-13,0xfe23a2364565dc83,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,256,1,15.5473,4.223260535478278,4.223260535478325,4.618527782440651e-14,0x5ffdaed172ce7556,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,irregular,4,,256,2,15.060129,4.223260535478278,4.223260535478325,4.618527782440651e-14,0x5ffdaed172ce7556,0
