experiment,executable,implementation,n,nz,mode,threads,scheduling,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_abs_error,checksum,returncode
task_vs_worksharing,omp,task-based,500000,20000000,regular,2,,4096,3,22.954439,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,2,,4096,1,22.958099,5.601504662506811,5.601504662506887,7.638334409421077e-14,0xd86bc2f7d24e704c,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,2,,4096,2,23.719962,5.601504662506811,5.601504662506887,7.638334409421077e-14,0xd86bc2f7d24e704c,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,2,,4096,3,23.05954,5.601504662506811,5.601504662506887,7.638334409421077e-14,0xd86bc2f7d24e704c,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,256,1,19.896053,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,256,2,19.366081,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,256,3,19.936167,5.601504662506865,5.601504662506887,2.220446049250313e-14,0x7cee2d0beca1b949,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,256,1,15.276087,5.601504662506872,5.601504662506887,1.509903313490213e-14,0x157dc820288be249,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,256,2,15.663398,5.601504662506872,5.601504662506887,1.509903313490213e-14,0x157dc820288be249,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,256,3,15.343319,5.601504662506872,5.601504662506887,1.509903313490213e-14,0x157dc820288be249,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,1024,1,15.979697,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,1024,2,15.89503,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,1024,3,16.121464,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,1024,1,15.008362,5.601504662506875,5.601504662506887,1.1546319456101628e-14,0xce8a68dc0b63db7f,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,1024,2,15.398094,5.601504662506875,5.601504662506887,1.1546319456101628e-14,0xce8a68dc0b63db7f,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,1024,3,15.306126,5.601504662506875,5.601504662506887,1.1546319456101628e-14,0xce8a68dc0b63db7f,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,4096,1,15.02468,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,4096,2,14.983059,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
task_vs_worksharing,omp,task-based,500000,20000000,regular,4,,4096,3,15.02329,5.601504662506889,5.601504662506887,1.7763568394002505e-15,0xcce8cbc3829ed4e5,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,4096,1,14.923514,5.601504662506874,5.601504662506887,1.3322676295501878e-14,0xf52e0b3470e0101b,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,4096,2,14.636213,5.601504662506874,5.601504662506887,1.3322676295501878e-14,0xf52e0b3470e0101b,0
task_vs_worksharing,omp_worksharing,work-sharing,500000,20000000,regular,4,,4096,3,14.875794,5.601504662506874,5.601504662506887,1.3322676295501878e-14,0xf52e0b3470e0101b,0
