experiment,executable,ranks,threads,n,nz,mode,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,checksum,returncode
weak,mpi_omp,1,4,125000,5000000,irregular,1024,1,10.719632,4.233685844584143,4.233685844584048,9.50350909079134e-14,0x78675fbefcb387a8,0
weak,mpi_omp,1,4,125000,5000000,irregular,1024,2,10.675472,4.233685844584143,4.233685844584048,9.50350909079134e-14,0x78675fbefcb387a8,0
weak,mpi_omp,1,4,125000,5000000,irregular,1024,3,10.689063,4.233685844584143,4.233685844584048,9.50350909079134e-14,0x78675fbefcb387a8,0
weak,mpi_omp,2,4,250000,10000000,irregular,1024,1,16.334412,4.222249920310901,4.222249920310938,3.730349362740526e-14,0x5e84dd334e92e61a,0
weak,mpi_omp,2,4,250000,10000000,irregular,1024,2,16.543508,4.222249920310901,4.222249920310938,3.730349362740526e-14,0x5e84dd334e92e61a,0
weak,mpi_omp,2,4,250000,10000000,irregular,1024,3,16.645686,4.222249920310901,4.222249920310938,3.730349362740526e-14,0x5e84dd334e92e61a,0
weak,mpi_omp,4,4,500000,20000000,irregular,1024,1,20.092904,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
weak,mpi_omp,4,4,500000,20000000,irregular,1024,2,20.140275,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
weak,mpi_omp,4,4,500000,20000000,irregular,1024,3,25.691441,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
