experiment,executable,ranks,threads,n,nz,mode,phase,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,returncode
phases,mpi_omp,2,2,500000,20000000,regular,global_normalize,1,0.374879,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,computation,2,34.248278,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_spmv,2,31.245048,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_epoch,2,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_comm,2,9.904298,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_rotate,2,1.765724,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_normalize,2,0.376591,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,computation,3,25.178715,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_spmv,3,22.214627,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_epoch,3,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_comm,3,0.777902,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_rotate,3,1.762469,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,2,500000,20000000,regular,global_normalize,3,0.37491,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,computation,1,35.777128,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_spmv,1,31.508241,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_epoch,1,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_comm,1,9.867229,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_rotate,1,2.054387,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_normalize,1,1.103905,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,computation,2,26.857781,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_spmv,2,22.599362,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_epoch,2,2e-06,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_comm,2,1.14201,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
phases,mpi_omp,2,4,500000,20000000,regular,global_rotate,2,1.94823,5.601504662506892,5.601504662506887,5.329070518200751e-15,0
