experiment,executable,ranks,threads,n,nz,mode,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,checksum,returncode
rank_thread,mpi_omp,1,2,500000,20000000,regular,1024,1,44.816792,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,1,2,500000,20000000,regular,1024,2,44.099414,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,1,2,500000,20000000,regular,1024,3,44.257253,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,1,4,500000,20000000,regular,1024,1,45.516299,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,1,4,500000,20000000,regular,1024,2,45.778071,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,1,4,500000,20000000,regular,1024,3,45.679878,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,2,500000,20000000,regular,1024,1,25.113489,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,2,500000,20000000,regular,1024,2,34.14154,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,2,500000,20000000,regular,1024,3,25.342843,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,4,500000,20000000,regular,1024,1,26.871911,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,4,500000,20000000,regular,1024,2,26.800059,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,2,4,500000,20000000,regular,1024,3,35.561574,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,2,500000,20000000,regular,1024,1,18.101059,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,2,500000,20000000,regular,1024,2,21.209208,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,2,500000,20000000,regular,1024,3,21.301646,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,4,500000,20000000,regular,1024,1,19.844247,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,4,500000,20000000,regular,1024,2,22.555446,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
rank_thread,mpi_omp,4,4,500000,20000000,regular,1024,3,19.749583,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
