experiment,executable,ranks,threads,n,nz,mode,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,checksum,returncode
strong,mpi_omp,1,4,500000,20000000,irregular,1024,1,45.386286,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,1,4,500000,20000000,irregular,1024,2,45.501773,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,1,4,500000,20000000,irregular,1024,3,45.323693,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,2,4,500000,20000000,irregular,1024,1,27.257837,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,2,4,500000,20000000,irregular,1024,2,27.278663,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,2,4,500000,20000000,irregular,1024,3,27.23831,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,4,4,500000,20000000,irregular,1024,1,23.253704,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,4,4,500000,20000000,irregular,1024,2,22.807625,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
strong,mpi_omp,4,4,500000,20000000,irregular,1024,3,20.014404,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
