experiment,executable,ranks,threads,n,nz,mode,phase,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,returncode
phases,mpi_omp,2,2,500000,20000000,irregular,global_rotate,1,1.781999,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_normalize,1,0.385831,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,computation,2,25.76362,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_spmv,2,22.443297,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_epoch,2,2e-06,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_comm,2,1.043824,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_rotate,2,1.782739,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_normalize,2,0.383539,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,computation,3,25.663458,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_spmv,3,22.360912,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_epoch,3,2e-06,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_comm,3,0.989159,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_rotate,3,1.778346,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,2,500000,20000000,irregular,global_normalize,3,0.384547,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,computation,1,27.235629,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_spmv,1,22.603369,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_epoch,1,2e-06,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_comm,1,1.441561,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_rotate,1,2.088372,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_normalize,1,1.233839,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,computation,2,27.222856,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_spmv,2,22.712552,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_epoch,2,2e-06,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_comm,2,1.457636,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
phases,mpi_omp,2,4,500000,20000000,irregular,global_rotate,2,2.067751,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0
