experiment,executable,ranks,threads,n,nz,mode,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,checksum,returncode
time,mpi_omp,1,4,500000,20000000,irregular,1024,1,45.548535,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,1,4,500000,20000000,irregular,1024,2,45.645674,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,1,4,500000,20000000,irregular,1024,3,45.424718,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,2,4,500000,20000000,irregular,1024,1,27.198317,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,2,4,500000,20000000,irregular,1024,2,27.142035,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,2,4,500000,20000000,irregular,1024,3,27.122325,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,4,4,500000,20000000,irregular,1024,1,19.94587,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,4,4,500000,20000000,irregular,1024,2,19.981178,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
time,mpi_omp,4,4,500000,20000000,irregular,1024,3,22.60831,4.223260535478213,4.223260535478325,1.1191048088221578e-13,0xb297b06f0db66f77,0
