experiment,executable,ranks,threads,n,nz,mode,chunk_size,repetition,time_s,rayleigh,reference_rayleigh,rayleigh_error,checksum,returncode
strong,mpi_omp,1,4,500000,20000000,regular,1024,1,45.557918,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,1,4,500000,20000000,regular,1024,2,45.735943,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,1,4,500000,20000000,regular,1024,3,45.835093,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,2,4,500000,20000000,regular,1024,1,26.773461,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,2,4,500000,20000000,regular,1024,2,36.082319,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,2,4,500000,20000000,regular,1024,3,26.840088,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,4,4,500000,20000000,regular,1024,1,19.897412,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,4,4,500000,20000000,regular,1024,2,19.729287,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
strong,mpi_omp,4,4,500000,20000000,regular,1024,3,19.732854,5.601504662506892,5.601504662506887,5.329070518200751e-15,0xe398803d9254b371,0
